country,region,income,income_level,life_exp,co2,population
El Salvador,Americas,8.62,Level 3,75.6,1.11,6.42
Bolivia,Americas,8.66,Level 3,71.8,1.96,11.4
Cuba,Americas,9.68,Level 3,78.3,2.53,11.3
Jamaica,Americas,9.74,Level 3,76.3,2.79,2.93
Jordan,Asia,10,Level 3,77.9,2.42,9.97
Namibia,Africa,10.1,Level 3,64.7,1.75,2.45
Iraq,Asia,10.6,Level 3,73.3,5.32,38.4
Bhutan,Asia,11.3,Level 3,73,1.61,0.754
Tunisia,Africa,11.4,Level 3,77.5,2.73,11.6
Egypt,Africa,11.4,Level 3,70.7,2.43,98.4
Indonesia,Asia,11.4,Level 3,71.1,2.3,268
Dominica,Americas,11.5,Level 3,72.3,2.55,0.0716
Ecuador,Americas,11.6,Level 3,76.2,2.46,17.1
Algeria,Africa,11.6,Level 3,76,3.69,42.2
Mongolia,Asia,12,Level 3,68,8.88,3.17
Ukraine,Europe,12.3,Level 3,73.9,5.09,44.2
Moldova,Europe,12.4,Level 3,74,1.27,4.05
Venezuela,Americas,12.4,Level 3,75.4,4.81,28.9
St. Vincent and the Grenadines,Americas,12.5,Level 3,72.8,2.03,0.11
Guyana,Americas,12.5,Level 3,67.1,3.12,0.779
Armenia,Europe,12.7,Level 3,75.6,1.89,2.95
Paraguay,Americas,12.8,Level 3,76.5,1.07,6.96
Peru,Americas,12.8,Level 3,80,1.74,32
Sri Lanka,Asia,12.9,Level 3,77.2,1.1,21.2
Albania,Europe,13.3,Level 3,78.4,1.59,2.88
Iran,Asia,13.5,Level 3,77.6,8.81,81.8
Nauru,Asia,13.6,Level 3,63.2,4.71,0.0107
Fiji,Asia,13.8,Level 3,68.3,2.41,0.883
South Africa,Africa,13.9,Level 3,64.4,8.1,57.8
Azerbaijan,Europe,14.2,Level 3,70.8,3.7,9.95
Georgia,Europe,14.3,Level 3,73.3,2.64,4
Colombia,Americas,14.3,Level 3,80.1,1.96,49.7
Bosnia and Herzegovina,Europe,14.4,Level 3,76.9,6.53,3.32
Gabon,Africa,14.7,Level 3,67.5,2.53,2.12
Brazil,Americas,14.7,Level 3,75.7,2.18,209
Turkmenistan,Asia,14.8,Level 3,70.6,13.7,5.85
Libya,Africa,15,Level 3,75.7,8.09,6.68
China,Asia,15.1,Level 3,77.4,7.06,1430
St. Lucia,Americas,15.3,Level 3,75.1,2.31,0.182
Barbados,Americas,15.7,Level 3,76.5,4.48,0.287
Lebanon,Asia,15.7,Level 3,76.2,3.53,6.86
North Macedonia,Europe,16.1,Level 3,74.3,3.49,2.08
Botswana,Africa,16.2,Level 3,61.8,2.96,2.25
Grenada,Americas,16.8,Level 3,73.2,2.43,0.111
Serbia,Europe,17.5,Level 3,75.6,5.17,8.8
Palau,Asia,17.6,Level 3,67.4,13.2,0.0179
Dominican Republic,Americas,17.7,Level 3,72.9,2.34,10.6
Thailand,Asia,18.1,Level 3,78.3,4.15,69.4
Maldives,Asia,18.8,Level 3,79,2.96,0.516
Suriname,Americas,19,Level 3,72.6,3.1,0.576
Belarus,Europe,19,Level 3,74,6.93,9.45
Mexico,Americas,19.9,Level 3,75.5,3.79,126
Equatorial Guinea,Africa,20.4,Level 3,65.8,4.35,1.31
Montenegro,Europe,20.7,Level 3,75.6,3.2,0.628
Costa Rica,Americas,20.7,Level 3,80,1.61,5
Antigua and Barbuda,Americas,21,Level 3,76.2,5.88,0.0963
Mauritius,Africa,22.2,Level 3,75.3,3.83,1.27
Bulgaria,Europe,22.2,Level 3,73.3,6.32,7.05
Argentina,Americas,22.7,Level 3,76.5,4.41,44.4
Uruguay,Americas,23,Level 3,77.5,2.01,3.45
Chile,Americas,25,Level 4,80.1,4.59,18.7
Kazakhstan,Asia,25.5,Level 4,71.7,17.6,18.3
Trinidad and Tobago,Americas,26.3,Level 4,74.8,31.3,1.39
Russia,Europe,26.7,Level 4,73,11.7,146
St. Kitts and Nevis,Americas,27.5,Level 4,72.1,4.62,0.0524
Seychelles,Africa,27.5,Level 4,73.5,6.75,0.0971
Malaysia,Asia,27.6,Level 4,75.2,8.08,31.5
Croatia,Europe,28.2,Level 4,78.6,4.48,4.16
Turkey,Europe,28.3,Level 4,78.1,5.2,82.3
Romania,Europe,28.5,Level 4,75.5,3.8,19.5
Greece,Europe,29.1,Level 4,81,7.03,10.5
Latvia,Europe,30.1,Level 4,75.8,3.73,1.93
Panama,Americas,31,Level 4,79.9,2.62,4.18
Hungary,Europe,31.1,Level 4,76.3,5.14,9.71
Slovak Republic,Europe,31.2,Level 4,77.5,6.61,5.45
Poland,Europe,31.7,Level 4,78,9.07,37.9
Oman,Asia,32.6,Level 4,73.6,13.9,4.83
Portugal,Europe,34,Level 4,81.7,4.97,10.3
Estonia,Europe,35.1,Level 4,77.9,14.8,1.32
Lithuania,Europe,35.4,Level 4,76.1,4.84,2.8
Bahamas,Americas,36.5,Level 4,73.8,4.7,0.386
Slovenia,Europe,38,Level 4,81.4,6.95,2.08
Israel,Asia,39.9,Level 4,83,7.67,8.38
Czech Republic,Europe,39.9,Level 4,79.3,9.94,10.7
Cyprus,Europe,40,Level 4,80.8,6.3,1.19
Spain,Europe,40.3,Level 4,83.1,5.75,46.7
Japan,Asia,41.8,Level 4,84.8,9.14,127
South Korea,Asia,42,Level 4,82.9,12.9,51.2
Italy,Europe,42,Level 4,83.1,5.58,60.6
New Zealand,Asia,42.9,Level 4,81.8,7.34,4.74
Malta,Europe,43.3,Level 4,82.5,3.61,0.439
France,Europe,45.3,Level 4,82.9,5.2,65
Bahrain,Asia,46.4,Level 4,77,19.8,1.57
United Kingdom,Europe,46.9,Level 4,81,5.65,67.1
Saudi Arabia,Asia,47.6,Level 4,74.3,18.4,33.7
Finland,Europe,48,Level 4,81.8,8.52,5.52
Australia,Asia,49,Level 4,82.9,16.9,24.9
Canada,Americas,49,Level 4,82.2,15.3,37.1
Kuwait,Asia,50.5,Level 4,81.6,23.7,4.14
Belgium,Europe,51.1,Level 4,81.4,8.69,11.5
Taiwan,Asia,51.9,Level 4,80.2,11.6,23.7
Sweden,Europe,52.3,Level 4,82.7,4.12,9.97
Germany,Europe,53.5,Level 4,81.2,9.14,83.1
Austria,Europe,55.3,Level 4,82.1,7.75,8.89
Netherlands,Europe,56.1,Level 4,81.7,9.48,17.1
Denmark,Europe,56.2,Level 4,81.1,6.06,5.75
Iceland,Europe,56.8,Level 4,84,10.8,0.337
Andorra,Europe,58.3,Level 4,82.1,6.12,0.077
Brunei,Asia,60.4,Level 4,74.2,18.5,0.429
"Hong Kong, China",Asia,61.1,Level 4,84.3,5.86,7.37
United States,Americas,61.6,Level 4,79,16.6,327
Norway,Europe,64.3,Level 4,82.8,8.31,5.34
United Arab Emirates,Asia,67,Level 4,73.7,21.4,9.63
Switzerland,Europe,70.6,Level 4,83.9,4.33,8.53
Ireland,Europe,83.7,Level 4,82,8.09,4.82
Qatar,Asia,91,Level 4,76.1,38,2.78
Singapore,Asia,98.2,Level 4,84.7,7.1,5.76
Luxembourg,Europe,115,Level 4,82.9,15.9,0.604
